State,One_Month_Cases,One_month_fatality_rate,Total_Deaths,Positive_Test_Rate,HDI,Health_index,Income_index,Educational_index,Rank_health,HEALTHCARE_ACCESS,HEALTHCARE_QUALITY,PUBLIC_HEALTH,State_and_Local Spending,Gross_State_Product,Real_State_Growth,Population_in_millions
Alabama,98413,0.37213839750260147,7688,0.21471384427092943,0.877,0.852,0.91,0.87,46,37,39,47,52.7,251.8,3.1,4.9
Alaska,7365,0.21374045801526717,262,0.03622615100061653,0.937,0.896,0.992,0.926,25,49,2,38,14.5,58.8,3.2,0.7
Arizona,238197,0.32439024390243903,13120,0.21936207161856192,0.908,0.916,0.915,0.894,23,42,11,18,60.9,402.9,3.4,7.5
Arkansas,70130,0.2448644207066557,4868,0.12143260767464872,0.877,0.861,0.906,0.866,49,45,49,49,30.3,144.6,2.9,3
California,998665,0.36508014073494915,40928,0.07862680254304866,0.93,0.935,0.979,0.88,7,23,10,1,660,3436.7,3.2,39.6
Colorado,62088,0.14645390070921985,5640,0.07266716189323282,0.942,0.922,0.963,0.941,12,29,7,8,65.5,428.8,3.5,5.9
Connecticut,64315,0.14916264547260857,7046,0.04379996678516095,0.953,0.935,0.993,0.933,3,1,14,6,48.8,309.8,2.8,3.6
Delaware,246,0.15045871559633028,1090,0.0011341451624565454,0.93,0.898,0.991,0.905,15,18,6,28,13.5,81.1,2.5,1
Florida,398062,0.18150232259526417,26479,0.08985390063740016,0.909,0.913,0.919,0.894,29,46,24,15,209.4,1203.7,3.3,22
Georgia,242993,0.2298915340188759,14198,0.14093922184446744,0.902,0.879,0.938,0.89,39,41,37,36,94.3,671.5,3,10.8
Hawaii,4327,0.29584352078239606,409,0.026402693739082002,0.94,0.942,0.958,0.92,1,3,1,4,19.4,105.6,2.6,1.4
Idaho,21606,0.16753623188405797,1725,0.2697379438415559,0.907,0.915,0.902,0.903,26,40,17,23,16,88.9,3.3,1.9
Illinois,162912,0.15409589234461019,21253,0.07022136637951351,0.929,0.907,0.966,0.914,22,19,26,13,146.8,973.8,2.8,12.6
Indiana,115197,0.16873229461756373,11296,0.08934064369024095,0.906,0.885,0.94,0.893,40,32,34,42,65.1,406.1,2.6,6.8
