State,One_Month_Cases,One_month_fatality_rate,Total_Deaths,Positive_Test_Rate,HDI,Rank_health,Gross_State_Product,Mobility,doses._per_hundred,assess_to_vaccines_per_hundred,HospitalBeds,lockdown_severity,Chronic.respiratory.diseases.mortality.rate,Lower.respiratory.infections.mortality.rate,obesity_prevalence,Score,Rank
Alabama,90.16775522100441,12.832068623636687,82.71053842613898,20.485227761056365,15.053763440860234,8.163265306122454,6.2878832460424885,65.60974905752408,4.465493910690124,0,14.527291695595473,57.43909804711093,16.13766730401528,13.928344286622846,26.570048309178745,28.95854630903994,50
Alaska,99.28697270384478,63.996866877664345,99.79751495628163,86.93540220553619,79.56989247311837,51.02040816326531,0.6090743247219442,65.25216738598374,100,100,0.9621535914628908,27.579524864103078,54.54110898661568,93.64002543989824,42.9951690821256,64.41241873697479,1
Arizona,76.16722037541354,28.255404725180952,70.21168890934192,18.75471314536398,48.3870967741936,55.10204081632653,10.733831577708466,61.81249555586186,24.357239512855198,16.75675675675675,0,37.30370444936582,55.51625239005737,88.5308458766165,55.07246376811594,43.13078364221056,32
Arkansas,93.00053384400738,53.943382042187174,89.19926369075012,55.213417141579605,15.053763440860234,2.040816326530617,3.1336432648737715,72.37468371921824,27.469553450608927,28.738738738738736,16.816465224559362,36.02778337024361,24.005736137667313,9.582361670553311,16.425120772946855,36.201684189021684,48
California,0,15.111986502809074,6.226415094339629,71.14982800373572,72.04301075268826,87.75510204081633,100,37.877149827430706,26.116373477672532,17.2972972972973,7.441864450105719,9.855043285685525,71.36711281070745,78.35488658045367,72.94685990338165,44.90286200180824,31
Colorado,93.8060072975374,85.73138636771031,87.42291762540268,73.36857584802813,84.94623655913976,77.55102040816327,11.495910080621433,51.035477757923346,19.621109607577804,27.65765765765766,23.25571798301803,24.375880813368227,40.812619502868074,72.44011023955903,84.05797101449275,57.17190658420453,7
Connecticut,93.58295465130371,84.85642334557878,84.18775885872066,84.11570418629857,96.77419354838709,95.91836734693878,7.994468310480786,58.756981966455264,51.285520974289575,51.891891891891895,5.231774018450215,4.323535333199118,71.2906309751434,51.74899300402798,62.31884057971014,60.28520259939173,3
Delaware,100,84.43777389068123,97.89231477220433,100,72.04301075268826,71.42857142857143,1.2652268581180484,54.6328428149877,32.34100135317996,23.6036036036036,3.2126891239921793,14.920978457821619,54.59847036328873,54.39898240407038,32.36714975845413,53.14284103877744,17
Florida,60.15540569640602,74.41024519155597,39.47307869305108,66.97002934050089,49.462365591397905,42.857142857142854,34.29647501912553,56.3954449239384,18.809201623815955,24.23423423423423,12.989640226639551,50.93617877994765,62.141491395793494,96.0992156031376,60.38647342995169,49.974441507109255,22
Georgia,75.68686092712579,58.77983851779129,67.731247123792,47.951191487057116,41.93548387096779,22.448979591836732,18.63708585888307,58.90222821904103,8.66035182679295,8.1981981981982,13.781764661150023,33.76031809945643,35.51625239005736,19.77952088191647,42.9951690821256,36.98429938241279,46
Hawaii,99.59125377221388,37.47640420982457,99.45927289461574,90.59263156587,82.79569892473116,100,1.9861119284411228,0,29.364005412719898,27.83783783783784,0.5745974799597008,0,100,44.71062115751536,100,54.29256234558195,14
Idaho,97.86061763648328,78.92149217123506,96.43120110446388,0,47.311827956989305,48.97959183673469,1.4947331254045784,90.87500204492777,6.3599458728010685,8.10810810810811,5.208191446728584,53.06774713106503,41.85468451242829,81.57727369090524,51.20772946859904,47.28387640712493,29
Illinois,83.7076417816568,83.26291406450929,51.497929130234695,74.27913482340583,70.96774193548396,57.142857142857146,27.531924910257164,44.63788813161576,18.267929634641405,14.234234234234235,15.170490682544994,33.71250251660963,58.53728489483748,40.08903964384142,39.1304347826087,47.4779965539559,28
Indiana,88.48669746869801,78.53514672953231,74.40865163368615,67.16111263936368,46.23655913978501,20.40816326530613,10.82798799505679,68.23117951025161,13.396481732070372,11.531531531531527,5.938474636564819,43.87708878598752,23.107074569789688,46.279414882340475,24.637681159420296,41.53754971195896,35
Iowa,96.2490697793211,66.47117766417165,89.12333179935573,5.57074436612865,69.89247311827965,61.224489795918366,5.043253104219384,63.63146805350475,6.630581867388367,10.810810810810805,39.891198115671244,46.93980269780552,45.487571701720846,65.25333898664405,17.874396135265727,46.00624719974706,30
Kansas,94.84204527357753,44.631470185396566,91.73262770363553,12.198177807604296,63.440860215053846,34.69387755102041,4.36944624257047,62.53115709580435,1.0825439783491215,3.1531531531531503,90.87249686711613,35.90446949869137,34.416826003824085,45.51621793512826,25.603864734299506,42.99928228301497,33
Kentucky,90.24718079283348,36.263180299348065,91.78324896456512,62.792535559037276,19.35483870967744,12.244897959183675,5.702348025657624,56.7308013238393,23.004059539918806,22.79279279279279,18.16735908658425,100,7.6099426386233375,17.27793088827643,15.458937198067659,38.62867025189368,44
Louisiana,91.47602359330101,83.0490847412681,80.01610676484123,70.6363505305448,23.655913978494652,10.204081632653057,7.220620255399282,54.034760088113146,15.83220568335589,24.054054054054056,10.858321369527863,32.07670626132476,42.89674952198853,13.673945304218762,28.985507246376812,39.24469540169746,43
Maine,98.50994422181469,0,99.04279797514957,89.78720699330094,54.83870967741942,63.265306122448976,1.0445477549579236,67.73625573712536,28.146143437077136,29.729729729729737,12.67573738648172,43.9400040265754,37.00764818355641,69.79012083951665,41.54589371980677,49.13733638699738,23
Maryland,92.23121755495438,77.2006251386014,84.00138057984353,81.60492287005962,77.41935483870976,85.71428571428571,12.575766492084977,45.870155168144755,11.502029769959403,11.26126126126126,6.169133778875449,24.224884235957305,73.10707456978969,36.188255246979004,48.79227053140097,51.190841183393815,19
Massachusetts,85.11636897935637,85.3072269350402,66.8591808559595,86.11184051049108,100,97.95918367346938,18.057435414582475,39.57260967085051,25.845737483085255,21.08108108108108,2.529367174703085,27.944433259512792,69.8374760994264,46.1310154759381,63.768115942028984,55.74140483703501,10
Michigan,91.86003070855021,80.8772632714992,64.67786470317533,76.17036794032836,52.68817204301081,53.06122448979592,16.03013005355146,57.1417191133071,20.568335588633285,27.567567567567572,6.6431889440308485,35.40366418361184,47.18929254302105,64.44774220903116,29.951690821256065,48.285216945358016,25
Minnesota,95.36677487107116,87.37908129606228,85.97791072250345,72.85471788878161,90.32258064516128,81.63265306122449,10.995704113458483,44.85994349724911,23.410013531799713,20.630630630630623,24.380906401412048,28.155828467888057,63.80497131931167,94.12762348950605,45.893719806763286,57.98620398285489,4
Mississippi,94.09626619685723,65.81691835541821,86.49102623101703,35.189763641429366,0,0,2.662861178132172,71.64811778650714,15.426251691474953,10.810810810810805,25.149853626363132,99.74833903764848,22.160611854684518,1.4210854715202004e-14,15.942028985507235,36.34285662639002,47
Missouri,93.0017357442116,71.24285426978346,84.19926369075012,57.971344999480074,45.1612903225807,18.367346938775512,9.530394868475254,64.64999184046812,1.0825439783491215,2.162162162162164,14.248296510479944,35.30551640829475,34.93307839388146,41.72143311426753,28.502415458937193,40.1386445800598,41
Montana,98.78327635992504,61.78108445497408,97.56327657616198,63.85429790589076,58.06451612903233,44.89795918367347,0.5443417877949744,84.00736122297536,23.680649526387015,26.03603603603604,100,44.16398228306825,28.72848948374761,71.71931312274751,63.768115942028984,57.83951333429623,6
Nebraska,97.62935200552073,87.78244119251889,95.98251265531523,66.6139308774259,76.34408602150548,46.93877551020408,2.8923674454187025,57.924742746960234,6.224627875507431,15.58558558558559,34.094083648507194,38.15683511173747,33.87189292543022,72.2069111723553,27.536231884057997,50.65229177720337,20
Nevada,94.65845501738248,46.19490295982065,90.57524160147261,58.778028675610805,41.93548387096779,38.775510204081634,4.61660683810981,39.63113985840172,16.91474966170501,11.081081081081086,6.321870007320914,46.37608214213812,30.60229445506694,30.23107907568368,58.454106280193244,41.00977544860243,38
New Hampshire,97.85450797711181,41.97067323536469,97.9682466635987,81.04433362835647,86.02150537634408,69.38775510204081,1.741893720943918,67.8414604929611,15.56156968876859,22.162162162162154,6.978376081842571,78.24894302395812,48.54684512428298,83.59126563493746,42.512077294686,56.095441013823965,9
New Jersey,83.21786744843598,96.32235212442913,50.966405890474,72.84708247927648,86.02150537634408,89.79591836734694,19.47272406284941,49.63632754420625,24.22192151556156,21.531531531531538,7.487402616687872,25.505838534326557,76.82600382409179,51.0493958024168,54.58937198067633,53.96610993991032,15
New Mexico,96.89969842320708,53.73576880595822,92.84629544408652,72.76936838856848,39.784946236559186,32.65306122448979,2.200906255516978,41.908072354088176,55.88633288227334,59.0990990990991,6.424048051988848,16.821018723575605,46.50095602294455,68.73012507949969,67.14975845410628,50.22729702973079,21
New York,55.842386813552224,91.2047998915809,0,83.98578569620305,84.94623655913976,75.51020408163265,54.24292355675867,41.71534668508645,15.426251691474953,21.531531531531538,7.942741238567964,4.889772498490032,79.36902485659655,38.4566461734153,60.86956521739131,47.728881099428094,27
North Carolina,78.19202158612767,43.52143480518907,78.92084675563737,68.88874941042812,45.1612903225807,40.816326530612244,17.751427058200434,57.993078534794094,20.83897158322056,18.918918918918916,11.377276593361227,12.296154620495273,40.133843212237096,36.52745389018443,43.96135265700484,41.01994309859947,37
North Dakota,99.51042598347988,100,97.07086976530142,73.41861944402358,84.94623655913976,24.48979591836735,0.6679220855646442,70.36356627546168,46.820027063599454,58.10810810810812,44.69980073639551,62.583048117576006,62.141491395793494,74.15730337078652,23.671497584541058,61.509914160542564,2
Ohio,80.45249539521984,69.07114294788772,74.68706856879889,63.66922792480683,53.76344086021512,30.612244897959187,21.117518978402874,66.41872443997067,13.667117726657644,12.612612612612615,14.265186220008335,29.84195691564325,34.51242829827916,51.727793088827646,26.086956521739125,42.83372769313526,34
Oklahoma,90.15543574391113,36.68931011919208,92.23884031293143,54.894071323242905,33.33333333333337,6.122448979591837,5.3463190725592895,68.88295102255063,40.05412719891745,43.24324324324325,21.30221823477,49.57720958324945,8.747609942638633,37.26945092219631,17.874396135265727,40.38206434450623,40
Oregon,97.16942486070478,53.81128308686256,95.89737689829728,83.6580781197365,70.96774193548396,67.34693877551021,7.008768316365562,63.933860893914556,24.763193504736133,26.03603603603604,11.339318306629952,18.615361385141938,47.64818355640535,100,48.309178743961354,54.433649627985744,13
Pennsylvania,79.92726500597445,48.31351945369393,50.660377358490564,30.12027279629058,63.440860215053846,59.183673469387756,24.90731477667275,55.92626574877671,13.93775372124492,12.43243243243244,13.055093717276266,24.682907187437095,58.50860420650095,47.27581089675642,37.19806763285024,41.30468124125593,36
Rhode Island,97.37154441171492,76.5030903132517,95.44408651633687,83.36171038295703,61.29032258064523,91.83673469387755,0.929794621314659,54.57134640613795,0,9.00900900900901,6.039368533641778,22.463257499496677,63.80497131931167,60.334958660165356,52.173913043478265,51.67560719942258,18
South Carolina,86.41522246671988,52.94962696145502,84.19696272434422,61.375599531263525,29.032258064516164,28.57142857142857,6.864591302300948,69.01265279905597,13.531799729364007,10.180180180180189,9.108515146381828,41.939299375880815,34.50286806883365,47.784608861564536,35.26570048309179,40.71542095109207,39
South Dakota,99.11460018288915,80.35296876265105,96.30924988495168,0.32364694886538814,70.96774193548396,36.734693877551024,0.5619961160477844,100,35.04736129905278,44.5045045045045,30.22821479124668,81.37205556674049,50.76481835564054,66.10133559465761,42.512077294686,55.659684340997906,12
Tennessee,85.89640221189701,41.22169547707573,78.19604233778188,58.3305707452038,31.182795698924767,14.285714285714292,11.10163008297534,65.56239162187062,3.2476319350473646,14.5045045045045,12.979496197765815,41.03331991141534,29.23518164435947,25.249099003603973,28.985507246376812,36.06746552696778,49
Texas,39.573065015789965,54.55417267179842,15.094339622641513,49.57470538233156,49.462365591397905,26.530612244897952,59.7098805390455,60.28931339678341,13.531799729364007,15.405405405405398,16.022282031779955,42.63388363197101,52.10325047801147,45.47381810472758,36.231884057971016,38.412718526927776,45
Utah,93.0123525293489,56.213068766712645,96.5692590888173,50.9290052893109,72.04301075268826,83.6734693877551,5.019713999882304,69.59048625268332,15.02029769959404,43.6036036036036,8.388113395343876,77.58707469297363,65.77437858508605,56.58257366970532,57.971014492753625,56.798494813750594,8
Vermont,99.56861798503434,62.49473833946351,100,95.45816364272643,78.49462365591407,79.59183673469389,0,37.030700211755914,30.71718538565629,40.09009009009009,7.855676644810454,4.237970605999607,46.43403441682601,98.64320542717829,55.07246376811594,55.71262046055099,11
Virginia,84.48056377132247,61.47923050734569,85.52692130694892,64.51826096473044,70.96774193548396,65.3061224489796,16.633319602189136,40.06128557751348,35.182679296346414,29.27927927927928,8.316492042397044,30.370444936581436,56.826003824091785,30.867076531693883,46.376811594202906,48.412815574607095,24
Washington,93.5298707256172,70.92285596341199,90.54072710538426,74.9165022047957,82.79569892473116,93.87755102040816,18.442888248102157,64.03733711009599,27.063599458728014,23.243243243243246,16.4950710360635,11.349909402053555,55.98470363288718,96.1628153487386,48.309178743961354,57.844796811214806,5
West Virginia,96.45229107218512,23.55794937426738,95.74321214910262,77.26813536244885,9.67741935483872,4.08163265306122,1.3152474548343436,50.161382899022875,56.29228687415427,71.53153153153153,29.635755778122356,44.194181598550436,1.4210854715202004e-14,28.78948484206063,0,39.24670072961202,42
Wisconsin,92.84308491725417,73.1945960897841,85.59595029912563,64.73653710311075,69.89247311827965,73.46938775510205,9.930559642205614,63.03801836908432,34.10013531799729,28.018018018018015,7.312021409307354,35.262734044694994,58.37476099426386,72.60970956116175,34.29951690821257,53.51183356984014,16
Wyoming,99.27315085149621,47.406784099890274,99.02899217671423,69.98591706441204,74.19354838709685,16.326530612244895,0.11769552168539987,73.25973664499895,28.416779431664413,23.963963963963966,27.967250707187524,43.28065230521442,16.34799235181643,48.03900784396862,48.79227053140097,47.76001816625035,26
